epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.077,1.52528,3.69784,1.28771,0.00294,0.82812,0.43526,0.20385,1.58437,4.02135,1.19353,0.00026,0.00026,0.00026
2,349.611,1.56956,2.63998,1.27073,0.67052,0.09556,0.19941,0.10474,1.45095,4.00878,1.29168,0.00051327,0.00051327,0.00051327
3,516.447,1.5697,2.27456,1.28175,0.00311,0.875,0.0273,0.01292,1.47672,4.03379,1.29624,0.00073882,0.00073882,0.00073882
4,695.11,1.58862,2.12265,1.30326,0.35572,0.23438,0.18754,0.09313,1.55347,3.89444,1.42919,0.00093665,0.00093665,0.00093665
5,853.011,1.55781,2.00314,1.24113,0.70362,0.23438,0.32469,0.16828,1.58603,3.64553,1.4488,0.00110676,0.00110676,0.00110676
6,1075.31,1.56785,1.95852,1.29842,0.09984,0.3125,0.08891,0.04306,1.68725,3.89413,1.47088,0.00124915,0.00124915,0.00124915
7,1269.25,1.59431,1.90421,1.29735,0.17332,0.15625,0.11412,0.04897,1.69906,3.67628,1.45825,0.00136382,0.00136382,0.00136382
8,1413.61,1.56365,1.82166,1.27344,0.41034,0.4375,0.32323,0.12534,1.72058,3.05741,1.40952,0.001307,0.001307,0.001307
9,1548.62,1.49116,1.69212,1.21724,0.65448,0.64062,0.61889,0.31993,1.56495,2.41441,1.43748,0.001208,0.001208,0.001208
10,1682.13,1.51789,1.62019,1.23868,0.7222,0.56877,0.5927,0.31282,1.71563,2.3645,1.50171,0.001109,0.001109,0.001109
11,1814.64,1.51461,1.9864,1.29446,0.57802,0.64211,0.58988,0.2948,1.62532,2.43066,1.52554,0.00101,0.00101,0.00101
12,1944.4,1.5035,1.89225,1.28804,0.69507,0.625,0.68431,0.32236,1.65526,2.13512,1.4942,0.000911,0.000911,0.000911
13,2077.13,1.46819,1.80482,1.24936,0.72612,0.5625,0.66039,0.31207,1.68131,2.2466,1.52501,0.000812,0.000812,0.000812
14,2209.53,1.50342,1.70631,1.23592,0.78674,0.70312,0.78539,0.41687,1.59722,2.06522,1.44206,0.000713,0.000713,0.000713
15,2350.87,1.45727,1.6563,1.23725,0.78811,0.75556,0.78031,0.41308,1.64604,1.86092,1.45044,0.000614,0.000614,0.000614
16,2489.94,1.36549,1.61767,1.18973,0.8426,0.73438,0.80491,0.41786,1.59625,1.69405,1.39752,0.000515,0.000515,0.000515
17,2618.72,1.3549,1.53627,1.20483,0.88742,0.73902,0.82965,0.43403,1.54127,1.63578,1.36247,0.000416,0.000416,0.000416
18,2752.39,1.30086,1.43031,1.15818,0.88093,0.69369,0.84069,0.44602,1.52499,1.53663,1.34343,0.000317,0.000317,0.000317
19,2892.91,1.24391,1.33391,1.14436,0.74491,0.82134,0.83678,0.43968,1.53416,1.55306,1.33084,0.000218,0.000218,0.000218
20,3030.87,1.29134,1.3605,1.14934,0.85037,0.79924,0.86232,0.4477,1.49741,1.51645,1.32549,0.000119,0.000119,0.000119
